strain	genbank	date	country	region	division	location	length	host_type	host	authors	date_submitted
MH018083	MH018083	2017-02-17	Brazil	Sudeste	Minas Gerais	Abre Campo	10213	Non-human primate	Alouatta sp.	Faria et al	2018-03-02
ON022732	ON022732	2017-02-18	Brazil	Sudeste	Espírito Santo	Marechal Floriano	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
KY885000	KY885000	2017-02-20	Brazil	Sudeste	Espírito Santo	Domingos Martins	11007	Non-human primate	Alouatta guariba clamitans	Bonaldo et al	2017-04-03
MK333800	MK333800	2017-02-20	Brazil	Sudeste	Espírito Santo	Domingos Martins	11007	Non-human primate	Alouatta guariba clamitans	Pereira Ribeiro et al	2018-12-21
MH018082	MH018082	2017-02-20	Brazil	Sudeste	Minas Gerais	Claraval	10213	Non-human primate	Callithrix sp.	Faria et al	2018-03-02
MF423373	MF423373	2017-02-21	Brazil	Sudeste	Espírito Santo	Domingos Martins	11007	Mosquito	Haemagogus leucocelaenus	Bonaldo et al	2017-06-29
ON022523	ON022523	2017-02-21	Brazil	Sudeste	Espírito Santo	Muniz Freira	10172	Human	Homo sapiens	Hill et al	2022-03-16
KY885001	KY885001	2017-02-22	Brazil	Sudeste	Espírito Santo	Domingos Martins	11007	Non-human primate	Alouatta guariba clamitans	Bonaldo et al	2017-04-03
ON022527	ON022527	2017-02-22	Brazil	Sudeste	Espírito Santo	Iúna	10172	Human	Homo sapiens	Hill et al	2022-03-16
MH018107	MH018107	2017-02-22	Brazil	Sudeste	Espírito Santo	Vitória	10218	Human	Homo sapiens	Faria et al	2018-03-02
MH018081	MH018081	2017-02-22	Brazil	Sudeste	Minas Gerais	Aguanil	10213	Non-human primate	Cebidae sp.	Faria et al	2018-03-02
MF423374	MF423374	2017-02-23	Brazil	Sudeste	Espírito Santo	Domingos Martins	11007	Mosquito	Haemagogus janthinomys	Bonaldo et al	2017-06-29
MF370539	MF370539	2017-02-23	Brazil				11006	Non-human primate	Sapajus libidinosus	Cruz et al	2017-06-18
ON022496	ON022496	2017-02-24	Brazil	Sudeste	Espírito Santo	Cariacica	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022578	ON022578	2017-02-24	Brazil	Sudeste	São Paulo	Monte Alegre do Sul	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MF370540	MF370540	2017-02-25	Brazil				11005	Non-human primate	Alouatta seniculus	Cruz et al	2017-06-18
MF538784	MF538784	2017-02-26	Brazil	Sudeste	Rio de Janeiro	Porciúncula	11007	Human	Homo sapiens	Bonaldo et al	2017-07-24
ON022518	ON022518	2017-02-27	Brazil	Sudeste	Espírito Santo	Serra	9884	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022582	ON022582	2017-02-27	Brazil	Sudeste	São Paulo	Águas da Prata	10172	Non-human primate	Cebus	Hill et al	2022-03-16
MF370541	MF370541	2017-02-28	Brazil				11005	Non-human primate	Alouatta sp.	Cruz et al	2017-06-18
MF370531	MF370531	2017-02-28	Brazil				11004	Human	Homo sapiens	Cruz et al	2017-06-18
ON022510	ON022510	2017-03-02	Brazil	Sudeste	Espírito Santo	Vitória	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022428	ON022428	2017-03-02	Brazil	Sudeste	Minas Gerais	Itabira	10172	Non-human primate	Alouatta caraya	Hill et al	2022-03-16
MF170975	MF170975	2017-03-03	Brazil	Sudeste	Espírito Santo	Brejetuba	10236	Human	Homo sapiens	Moreira-Soto et al	2017-05-26
MF370543	MF370543	2017-03-03	Brazil				11007	Non-human primate	Alouatta sp.	Cruz et al	2017-06-18
MK728873	MK728873	2017-03-04	Brazil	Centro-Oeste	Goiás	Amorinópolis	11007	Human	Homo sapiens	Delatorre et al	2019-03-29
ON022468	ON022468	2017-03-06	Brazil	Sudeste	Espírito Santo	Aracruz	9884	Non-human primate	Non-human primate	Hill et al	2022-03-16
MK882610	MK882610	2017-03-06	Brazil	Sudeste	Espírito Santo	Guarapari	10169	Human	Homo sapiens	Giovanetti et al	2019-05-03
ON022520	ON022520	2017-03-07	Brazil	Sudeste	Espírito Santo	Santa Maria de Jetibá	10172	Human	Homo sapiens	Hill et al	2022-03-16
MK882606	MK882606	2017-03-07	Brazil	Sudeste	Rio de Janeiro	Campos dos Goytacazes	9763	Human	Homo sapiens	Giovanetti et al	2019-05-03
MH018109	MH018109	2017-03-08	Brazil	Sudeste	Espírito Santo	Cariacica	10195	Non-human primate	Alouatta sp.	Faria et al	2018-03-02
MK882611	MK882611	2017-03-08	Brazil	Sudeste	Espírito Santo	Cariacica	10169	Human	Homo sapiens	Giovanetti et al	2019-05-03
MH018110	MH018110	2017-03-09	Brazil	Sudeste	Espírito Santo	Cariacica	10195	Non-human primate	Callithrix sp.	Faria et al	2018-03-02
MK882605	MK882605	2017-03-09	Brazil	Sudeste	Rio de Janeiro	Rio de Janeiro	9763	Human	Homo sapiens	Giovanetti et al	2019-05-03
MK882607	MK882607	2017-03-09	Brazil	Sudeste	Rio de Janeiro	Rio de Janeiro	10169	Human	Homo sapiens	Giovanetti et al	2019-05-03
ON022661	ON022661	2017-03-09	Brazil	Sudeste	São Paulo	Amparo	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
MN604280	MN604280	2017-03-10	Brazil	Nordeste	Bahia	Cordeiros	10166	Non-human primate	Callithrix	Jesus et al	2019-10-21
MH018099	MH018099	2017-03-10	Brazil	Nordeste	Bahia	Cordeiros	10169	Non-human primate	nonhuman primate	Faria et al	2018-03-02
MH018108	MH018108	2017-03-10	Brazil	Sudeste	Espírito Santo	Cariacica	10191	Human	Homo sapiens	Faria et al	2018-03-02
MK882608	MK882608	2017-03-12	Brazil	Sudeste	Rio de Janeiro	Rio de Janeiro	9763	Human	Homo sapiens	Giovanetti et al	2019-05-03
MN604281	MN604281	2017-03-13	Brazil	Nordeste	Bahia	Santa Rita de Cássia	10167	Non-human primate	Alouatta	Jesus et al	2019-10-21
MK882609	MK882609	2017-03-13	Brazil	Sudeste	Espírito Santo	Vitória	10169	Human	Homo sapiens	Giovanetti et al	2019-05-03
ON022388	ON022388	2017-03-13	Brazil	Sudeste	Minas Gerais	Braúnas	10172	Non-human primate	Callithrix geoffroyi	Hill et al	2022-03-16
ON022407	ON022407	2017-03-13	Brazil	Sudeste	Minas Gerais	São João da Mata	10172	Non-human primate	Alouatta guariba clamitans	Hill et al	2022-03-16
ON022374	ON022374	2017-03-13	Brazil	Sudeste	Minas Gerais	Senador José Bento	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022426	ON022426	2017-03-14	Brazil	Sudeste	Minas Gerais	Andradas	10172	Non-human primate	Cebidae	Hill et al	2022-03-16
ON022399	ON022399	2017-03-14	Brazil	Sudeste	Minas Gerais	Fervedouro	10172	Non-human primate	Cebidae	Hill et al	2022-03-16
MF370542	MF370542	2017-03-14	Brazil				10898	Non-human primate	Alouatta guariba	Cruz et al	2017-06-18
MN604284	MN604284	2017-03-15	Brazil	Nordeste	Bahia	Pedrão	10172	Human	Homo sapiens	Jesus et al	2019-10-21
MN604283	MN604283	2017-03-15	Brazil	Nordeste	Bahia	Salvador	10167	Non-human primate	Callithrix	Jesus et al	2019-10-21
MN604282	MN604282	2017-03-16	Brazil	Nordeste	Bahia	Camaçari	10167	Non-human primate	Callithrix	Jesus et al	2019-10-21
ON022529	ON022529	2017-03-16	Brazil	Sudeste	Espírito Santo	Venda Nova do Imigrante	10172	Human	Homo sapiens	Hill et al	2022-03-16
MF538782	MF538782	2017-03-16	Brazil	Sudeste	Rio de Janeiro	São Fidélis	11007	Human	Homo sapiens	Bonaldo et al	2017-07-24
ON022684	ON022684	2017-03-16	Brazil	Sudeste	São Paulo	Socorro	10172	Non-human primate	Sapajus	Hill et al	2022-03-16
MN604287	MN604287	2017-03-17	Brazil	Nordeste	Bahia	Cordeiros	10166	Non-human primate	Alouatta	Jesus et al	2019-10-21
ON022504	ON022504	2017-03-17	Brazil	Sudeste	Espírito Santo	Viana	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022574	ON022574	2017-03-17	Brazil	Sudeste	São Paulo	Bragança Paulista	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022682	ON022682	2017-03-17	Brazil	Sudeste	São Paulo	Monte Alegre do Sul	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022683	ON022683	2017-03-17	Brazil	Sudeste	São Paulo	Tuiuti	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
MF170969	MF170969	2017-03-18	Brazil	Sudeste	Espírito Santo	Casimiro de Abreu	10236	Human	Homo sapiens	Moreira-Soto et al	2017-05-26
MF538783	MF538783	2017-03-18	Brazil	Sudeste	Rio de Janeiro	Casimiro de Abreu	11007	Human	Homo sapiens	Bonaldo et al	2017-07-24
ON022444	ON022444	2017-03-20	Brazil	Sudeste	Espírito Santo	Serra	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MK882612	MK882612	2017-03-20	Brazil	Sudeste	Espírito Santo	Serra	10169	Human	Homo sapiens	Giovanetti et al	2019-05-03
MF170970	MF170970	2017-03-21	Brazil	Sudeste	Espírito Santo	Domingos Martins	10236	Human	Homo sapiens	Moreira-Soto et al	2017-05-26
ON022430	ON022430	2017-03-21	Brazil	Sudeste	Minas Gerais	Marliéria	10172	Non-human primate	Alouatta caraya	Hill et al	2022-03-16
ON022685	ON022685	2017-03-21	Brazil	Sudeste	São Paulo	Campinas	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022691	ON022691	2017-03-21	Brazil	Sudeste	São Paulo	Monte Alegre do Sul	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
MF170980	MF170980	2017-03-23	Brazil	Sudeste	Espírito Santo	Alfredo Chaves	10236	Human	Homo sapiens	Moreira-Soto et al	2017-05-26
ON022400	ON022400	2017-03-23	Brazil	Sudeste	Minas Gerais	Carmo do Rio Claro	9884	Non-human primate	Callithrix penicillata	Hill et al	2022-03-16
ON022396	ON022396	2017-03-23	Brazil	Sudeste	Minas Gerais	Itapecerica	10172	Non-human primate	Callithrix penicillata	Hill et al	2022-03-16
ON022689	ON022689	2017-03-23	Brazil	Sudeste	São Paulo	Amparo	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022693	ON022693	2017-03-23	Brazil	Sudeste	São Paulo	Monte Alegre do Sul	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022395	ON022395	2017-03-24	Brazil	Sudeste	Minas Gerais	Carmópolis de Minas	10156	Non-human primate	Alouatta guariba clamitans	Hill et al	2022-03-16
ON022418	ON022418	2017-03-24	Brazil	Sudeste	Minas Gerais	Ilicínea	10172	Non-human primate	Sapajus apella	Hill et al	2022-03-16
ON022422	ON022422	2017-03-25	Brazil	Sudeste	Minas Gerais	Taquaraçu de Minas	10172	Non-human primate	Cebidae	Hill et al	2022-03-16
ON022690	ON022690	2017-03-25	Brazil	Sudeste	São Paulo	Pinhalzinho	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MK882615	MK882615	2017-03-27	Brazil	Sudeste	Rio de Janeiro	São Sebastião do Alto	10104	Human	Homo sapiens	Giovanetti et al	2019-05-03
MK882613	MK882613	2017-03-27	Brazil	Sudeste	Rio de Janeiro	São Sebastião do Alto	10172	Human	Homo sapiens	Giovanetti et al	2019-05-03
ON022575	ON022575	2017-03-27	Brazil	Sudeste	São Paulo	Monte Alegre do Sul	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
MF370547	MF370547	2017-03-27	Brazil				10998	Non-human primate	Alouatta sp.	Filippis et al	2017-06-18
MF170978	MF170978	2017-03-28	Brazil	Sudeste	Espírito Santo	Santa Maria de Jetibá	10236	Human	Homo sapiens	Moreira-Soto et al	2017-05-26
ON022401	ON022401	2017-03-28	Brazil	Sudeste	Minas Gerais	Ilicínea	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022687	ON022687	2017-03-28	Brazil	Sudeste	São Paulo	Campinas	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022573	ON022573	2017-03-28	Brazil	Sudeste	São Paulo	Campinas	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MF170974	MF170974	2017-03-29	Brazil	Sudeste	Espírito Santo	Cariacica	10236	Human	Homo sapiens	Moreira-Soto et al	2017-05-26
ON022692	ON022692	2017-03-29	Brazil	Sudeste	São Paulo	Pinhalzinho	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MF170972	MF170972	2017-03-31	Brazil	Sudeste	Espírito Santo	Cariacica	10236	Human	Homo sapiens	Moreira-Soto et al	2017-05-26
ON022679	ON022679	2017-03-31	Brazil	Sudeste	São Paulo	Monte Alegre do Sul	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022704	ON022704	2017-03-31	Brazil	Sudeste	São Paulo	Tuiuti	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022579	ON022579	2017-04-01	Brazil	Sudeste	São Paulo	Pinhalzinho	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022447	ON022447	2017-04-02	Brazil	Sudeste	Espírito Santo	Santa Leopoldina	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022446	ON022446	2017-04-03	Brazil	Sudeste	Espírito Santo	Santa Leopoldina	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022414	ON022414	2017-04-03	Brazil	Sudeste	Minas Gerais	Congonhal	10172	Non-human primate	Alouatta caraya	Hill et al	2022-03-16
ON022415	ON022415	2017-04-03	Brazil	Sudeste	Minas Gerais	Santa Maria de Itabira	10172	Non-human primate	Callithrix geoffroyi	Hill et al	2022-03-16
ON022383	ON022383	2017-04-03	Brazil	Sudeste	Minas Gerais	Santo Antônio do Grama	10172	Non-human primate	Cebidae	Hill et al	2022-03-16
ON022580	ON022580	2017-04-03	Brazil	Sudeste	São Paulo	Pinhalzinho	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MF423375	MF423375	2017-04-04	Brazil	Sudeste	Rio de Janeiro	Macaé	11007	Non-human primate	Alouatta guariba clamitans	Bonaldo et al	2017-06-29
ON022576	ON022576	2017-04-04	Brazil	Sudeste	São Paulo	Pinhalzinho	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MN604285	MN604285	2017-04-05	Brazil	Nordeste	Bahia	Ichu	10172	Non-human primate	Callithrix penicillata	Jesus et al	2019-10-21
MK333801	MK333801	2017-04-05	Brazil	Sudeste	Espírito Santo	Santa Leopoldina	11007	Mosquito	Haemagogus janthinomys	Pereira Ribeiro et al	2018-12-21
MK333802	MK333802	2017-04-05	Brazil	Sudeste	Espírito Santo	Santa Leopoldina	11007	Mosquito	Haemagogus leucocelaenus	Pereira Ribeiro et al	2018-12-21
MF170981	MF170981	2017-04-05	Brazil	Sudeste	Espírito Santo	Santa Leopoldina	10236	Human	Homo sapiens	Moreira-Soto et al	2017-05-26
MF370546	MF370546	2017-04-05	Brazil				11004	Non-human primate	Alouatta caraya	Cruz et al	2017-06-18
MF370545	MF370545	2017-04-05	Brazil				11008	Non-human primate	Aotus ozzarae infulatus	Cruz et al	2017-06-18
MF370544	MF370544	2017-04-05	Brazil				11007	Non-human primate	Aotus ozzarae infulatus	Cruz et al	2017-06-18
MF170979	MF170979	2017-04-06	Brazil	Sudeste	Espírito Santo	Santa Maria de Jetibá	10236	Human	Homo sapiens	Moreira-Soto et al	2017-05-26
ON022381	ON022381	2017-04-06	Brazil	Sudeste	Minas Gerais	Congonhal	10172	Non-human primate	Alouatta caraya	Hill et al	2022-03-16
ON022390	ON022390	2017-04-06	Brazil	Sudeste	Minas Gerais	Congonhal	10172	Non-human primate	Alouatta caraya	Hill et al	2022-03-16
ON022410	ON022410	2017-04-06	Brazil	Sudeste	Minas Gerais	São Tiago	10172	Non-human primate	Callithrix penicillata	Hill et al	2022-03-16
ON022680	ON022680	2017-04-06	Brazil	Sudeste	São Paulo	Tuiuti	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
MN604286	MN604286	2017-04-07	Brazil	Nordeste	Bahia	Salvador	10172	Non-human primate	Callithrix penicillata	Jesus et al	2019-10-21
MH018111	MH018111	2017-04-10	Brazil	Sudeste	Espírito Santo	Domingos Martins	10195	Human	Homo sapiens	Faria et al	2018-03-02
MF170973	MF170973	2017-04-10	Brazil	Sudeste	Espírito Santo	Domingos Martins	10236	Human	Homo sapiens	Moreira-Soto et al	2017-05-26
ON022681	ON022681	2017-04-10	Brazil	Sudeste	São Paulo	Amparo	10172	Non-human primate	Callicebus	Hill et al	2022-03-16
ON022677	ON022677	2017-04-10	Brazil	Sudeste	São Paulo	Espírito Santo do Pinhal	10172	Non-human primate	Sapajus	Hill et al	2022-03-16
ON022615	ON022615	2017-04-10	Brazil	Sudeste	São Paulo	Pinhalzinho	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022705	ON022705	2017-04-10	Brazil	Sudeste	São Paulo	Pinhalzinho	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022421	ON022421	2017-04-11	Brazil	Sudeste	Minas Gerais	Senador Amaral	10172	Non-human primate	Alouatta caraya	Hill et al	2022-03-16
ON022389	ON022389	2017-04-12	Brazil	Sudeste	Minas Gerais	Igaratinga	10172	Non-human primate	Cebidae	Hill et al	2022-03-16
ON022621	ON022621	2017-04-12	Brazil	Sudeste	São Paulo	Pinhalzinho	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022725	ON022725	2017-04-13	Brazil	Sudeste	Espírito Santo	Marechal Floriano	10172	Human	Homo sapiens	Hill et al	2022-03-16
MF170968	MF170968	2017-04-13	Brazil	Sudeste	Espírito Santo	Marechal Floriano	10236	Human	Homo sapiens	Moreira-Soto et al	2017-05-26
MF423376	MF423376	2017-04-13	Brazil	Sudeste	Rio de Janeiro	Macaé	11007	Non-human primate	Alouatta guariba clamitans	Bonaldo et al	2017-06-29
ON022618	ON022618	2017-04-16	Brazil	Sudeste	São Paulo	Pinhalzinho	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022460	ON022460	2017-04-17	Brazil	Sudeste	Rio de Janeiro	Carmo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MK882614	MK882614	2017-04-17	Brazil	Sudeste	Rio de Janeiro	Carmo	10169	Human	Homo sapiens	Giovanetti et al	2019-05-03
ON022463	ON022463	2017-04-17	Brazil	Sudeste	Rio de Janeiro	Maricá	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MH018112	MH018112	2017-04-17	Brazil	Sudeste	Rio de Janeiro	Maricá	10216	Non-human primate	Alouatta sp.	Faria et al	2018-03-02
MK882616	MK882616	2017-04-17	Brazil	Sudeste	Rio de Janeiro	Maricá	10169	Human	Homo sapiens	Giovanetti et al	2019-05-03
ON022612	ON022612	2017-04-17	Brazil	Sudeste	São Paulo	Pinhalzinho	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022611	ON022611	2017-04-17	Brazil	Sudeste	São Paulo	Tuiuti	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022386	ON022386	2017-04-18	Brazil	Sudeste	Minas Gerais	Congonhal	10172	Non-human primate	Alouatta caraya	Hill et al	2022-03-16
ON022429	ON022429	2017-04-18	Brazil	Sudeste	Minas Gerais	Congonhal	10172	Non-human primate	Alouatta caraya	Hill et al	2022-03-16
ON022409	ON022409	2017-04-18	Brazil	Sudeste	Minas Gerais	Rio Doce	10172	Non-human primate	Alouatta caraya	Hill et al	2022-03-16
ON022519	ON022519	2017-04-18	Brazil	Sudeste	Rio de Janeiro	Itaperuna	9884	Non-human primate	Callithrix	Hill et al	2022-03-16
MG550109	MG550109	2017-04-18	Brazil	Sudeste	Rio de Janeiro	Maricá	11007	Human	Homo sapiens	Bonaldo et al	2017-11-17
MF423377	MF423377	2017-04-19	Brazil	Sudeste	Rio de Janeiro	Carmo	11007	Non-human primate	Alouatta guariba clamitans	Bonaldo et al	2017-06-29
MF423378	MF423378	2017-04-19	Brazil	Sudeste	Rio de Janeiro	Carmo	11007	Non-human primate	Alouatta guariba clamitans	Bonaldo et al	2017-06-29
MN643088	MN643088	2017-04-19	Brazil	Sudeste	Rio de Janeiro	Macaé	11007	Non-human primate	Alouatta guariba	Abreu et al	2019-11-04
MK333803	MK333803	2017-04-20	Brazil	Centro-Oeste	Goiás	Nova Crixás	11007	Non-human primate	Alouatta caraya	Pereira Ribeiro et al	2018-12-21
ON022439	ON022439	2017-04-20	Brazil	Sudeste	Rio de Janeiro	Carmo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022469	ON022469	2017-04-20	Brazil	Sudeste	Rio de Janeiro	Niterói	9884	Non-human primate	Callithrix	Hill et al	2022-03-16
ON022647	ON022647	2017-04-20	Brazil	Sudeste	São Paulo	Bragança Paulista	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022616	ON022616	2017-04-20	Brazil	Sudeste	São Paulo	Bragança Paulista	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MF370548	MF370548	2017-04-20	Brazil				11007	Non-human primate	Alouatta sp.	Filippis et al	2017-06-18
MF538785	MF538785	2017-04-21	Brazil	Sudeste	Rio de Janeiro	Petrópolis	11007	Non-human primate	marmoset	Bonaldo et al	2017-07-24
ON022384	ON022384	2017-04-22	Brazil	Sudeste	Minas Gerais	Santa Maria de Itabira	10172	Non-human primate	Callithrix geoffroyi	Hill et al	2022-03-16
MH018113	MH018113	2017-04-22	Brazil	Sudeste	Rio de Janeiro	Casimiro de Abreu	10195	Human	Homo sapiens	Faria et al	2018-03-02
ON022467	ON022467	2017-04-24	Brazil	Sudeste	Rio de Janeiro	Rio de Janeiro	10172	Non-human primate	Callithrix	Hill et al	2022-03-16
MF434851	MF434851	2017-04-25	Brazil	Sudeste	Rio de Janeiro	Casimiro de Abreu	11007	Human	Homo sapiens	Bonaldo et al	2017-07-04
ON022521	ON022521	2017-04-25	Brazil	Sudeste	Rio de Janeiro	Silva Jardim	9884	Human	Homo sapiens	Hill et al	2022-03-16
ON022643	ON022643	2017-04-25	Brazil	Sudeste	São Paulo	Bragança Paulista	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022646	ON022646	2017-04-25	Brazil	Sudeste	São Paulo	Bragança Paulista	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MN506281	MN506281	2017-04-26	Brazil	Sudeste	Rio de Janeiro	Maricá	10859	Mosquito	Hg. janthinomys	Abreu et al	2019-09-23
MH030087	MH030087	2017-04-26	Brazil	Sudeste	São Paulo	Americana	10169	Human	Homo sapiens	Souza et al	2018-03-06
ON022619	ON022619	2017-04-28	Brazil	Sudeste	São Paulo	Piracaia	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022596	ON022596	2017-04-29	Brazil	Sudeste	São Paulo	Vinhedo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022731	ON022731	2017-05-02	Brazil	Sudeste	Espírito Santo	Vitória	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022455	ON022455	2017-05-02	Brazil	Sudeste	Rio de Janeiro	Santa Maria Madalena	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MH030090	MH030090	2017-05-02	Brazil	Sudeste	São Paulo	São João da Boa Vista	10169	Human	Homo sapiens	Souza et al	2018-03-06
ON022617	ON022617	2017-05-03	Brazil	Sudeste	São Paulo	Pedra Bela	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MH030089	MH030089	2017-05-03	Brazil	Sudeste	São Paulo	São João da Boa Vista	10169	Human	Homo sapiens	Souza et al	2018-03-06
MH030088	MH030088	2017-05-03	Brazil	Sudeste	São Paulo	Tuiuti	10169	Human	Homo sapiens	Souza et al	2018-03-06
ON022408	ON022408	2017-05-04	Brazil	Sudeste	Minas Gerais	Senador Amaral	10172	Non-human primate	Alouatta caraya	Hill et al	2022-03-16
MN506279	MN506279	2017-05-04	Brazil	Sudeste	Rio de Janeiro	Maricá	11007	Mosquito	Hg. leucocelaenus	Abreu et al	2019-09-23
ON022416	ON022416	2017-05-05	Brazil	Sudeste	Minas Gerais	Rio Doce	10172	Non-human primate	Alouatta caraya	Hill et al	2022-03-16
MN506283	MN506283	2017-05-05	Brazil	Sudeste	Rio de Janeiro	Maricá	11007	Mosquito	Hg. janthinomys	Abreu et al	2019-09-23
MN506275	MN506275	2017-05-05	Brazil	Sudeste	Rio de Janeiro	Maricá	11007	Mosquito	Hg. leucocelaenus	Abreu et al	2019-09-23
MN506270	MN506270	2017-05-05	Brazil	Sudeste	Rio de Janeiro	Maricá	11007	Mosquito	Hg. leucocelaenus	Abreu et al	2019-09-23
MN506271	MN506271	2017-05-05	Brazil	Sudeste	Rio de Janeiro	Maricá	11007	Mosquito	Hg. leucocelaenus	Abreu et al	2019-09-23
MN506268	MN506268	2017-05-05	Brazil	Sudeste	Rio de Janeiro	Maricá	11007	Mosquito	Hg. leucocelaenus	Abreu et al	2019-09-23
MN506273	MN506273	2017-05-05	Brazil	Sudeste	Rio de Janeiro	Maricá	11007	Mosquito	Hg. leucocelaenus	Abreu et al	2019-09-23
MN506277	MN506277	2017-05-05	Brazil	Sudeste	Rio de Janeiro	Maricá	11007	Mosquito	Hg. leucocelaenus	Abreu et al	2019-09-23
MN506276	MN506276	2017-05-05	Brazil	Sudeste	Rio de Janeiro	Maricá	11007	Mosquito	Hg. leucocelaenus	Abreu et al	2019-09-23
ON022608	ON022608	2017-05-05	Brazil	Sudeste	São Paulo	Pinhalzinho	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022662	ON022662	2017-05-05	Brazil	Sudeste	São Paulo	Pinhalzinho	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MN506272	MN506272	2017-05-06	Brazil	Sudeste	Rio de Janeiro	Maricá	11007	Mosquito	Ae. scapularis	Abreu et al	2019-09-23
MN506274	MN506274	2017-05-06	Brazil	Sudeste	Rio de Janeiro	Maricá	10719	Mosquito	Ae. taeniorhynchus	Abreu et al	2019-09-23
MN506269	MN506269	2017-05-06	Brazil	Sudeste	Rio de Janeiro	Maricá	11007	Mosquito	Hg. leucocelaenus	Abreu et al	2019-09-23
MK089775	MK089775	2017-05-06	Brazil	Sudeste	Rio de Janeiro	Maricá	10354	Mosquito	Ochlerotatus taeniorhynchus	Vieira Santos de Abreu et al	2018-10-22
MN506280	MN506280	2017-05-07	Brazil	Sudeste	Rio de Janeiro	Maricá	11007	Mosquito	Hg. leucocelaenus	Abreu et al	2019-09-23
MN506278	MN506278	2017-05-07	Brazil	Sudeste	Rio de Janeiro	Maricá	11007	Mosquito	Hg. leucocelaenus	Abreu et al	2019-09-23
MN506282	MN506282	2017-05-08	Brazil	Sudeste	Rio de Janeiro	Maricá	11007	Mosquito	Hg. janthinomys	Abreu et al	2019-09-23
MN506267	MN506267	2017-05-08	Brazil	Sudeste	Rio de Janeiro	Maricá	11007	Mosquito	Hg. leucocelaenus	Abreu et al	2019-09-23
ON022614	ON022614	2017-05-11	Brazil	Sudeste	São Paulo	Bragança Paulista	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022379	ON022379	2017-05-17	Brazil	Sudeste	Minas Gerais	Ferros	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022613	ON022613	2017-05-17	Brazil	Sudeste	São Paulo	Vinhedo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022466	ON022466	2017-05-19	Brazil	Sudeste	Rio de Janeiro	Macuco	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022443	ON022443	2017-05-19	Brazil	Sudeste	Rio de Janeiro	Macuco	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MH030091	MH030091	2017-05-29	Brazil	Sudeste	São Paulo	Campinas	10169	Human	Homo sapiens	Souza et al	2018-03-06
